No,Date,Type,Departure time,Travel time
080618,2020-08-15,скорый,19:34:00,05:45:00
052680,2003-02-11,пассажирский,06:24:00,12:09:00
629195,2020-11-03,скорый,23:09:00,23:24:00
381019,2024-05-07,товарный,20:34:00,13:54:00
394915,2023-08-10,скорый,05:56:00,06:54:00
880695,2008-12-23,скорый,19:12:00,18:50:00
943984,2000-06-30,пассажирский,20:08:00,22:32:00
992621,2012-07-13,пассажирский,07:07:00,05:10:00
860858,2010-04-28,товарный,03:16:00,02:50:00
596150,2023-11-09,пассажирский,21:12:00,03:16:00
485601,2014-02-16,скорый,15:05:00,18:45:00
238910,2004-01-28,пассажирский,17:56:00,21:42:00
295951,2018-01-18,товарный,04:28:00,00:24:00
458288,2005-03-03,скорый,14:14:00,07:33:00
665388,2024-03-26,товарный,01:29:00,10:06:00
642186,2012-03-14,пассажирский,19:39:00,10:50:00
735279,2020-03-23,пассажирский,05:01:00,01:11:00
089067,2000-06-11,скорый,05:29:00,17:52:00
319017,2024-04-25,скорый,04:40:00,07:20:00
644912,2023-09-16,пассажирский,18:28:00,01:51:00
560779,2012-12-01,товарный,12:54:00,05:09:00
332935,2012-06-11,товарный,07:17:00,21:50:00
981766,2000-09-21,товарный,16:16:00,10:06:00
608799,2001-10-09,пассажирский,08:24:00,05:53:00
418057,2018-09-23,скорый,14:05:00,21:09:00
525296,2008-03-30,скорый,02:53:00,03:24:00
491000,2022-12-04,пассажирский,00:22:00,12:01:00
892795,2006-12-18,пассажирский,13:21:00,00:38:00
615155,2019-01-17,скорый,03:13:00,03:58:00
355731,2004-08-18,товарный,04:06:00,17:55:00
041680,2003-10-02,пассажирский,23:22:00,23:14:00
410093,2011-01-01,скорый,20:50:00,23:47:00
781411,2024-11-28,пассажирский,22:31:00,22:02:00
277431,2000-07-29,товарный,06:52:00,06:49:00
513869,2008-08-18,товарный,23:42:00,01:58:00
850771,2018-10-06,скорый,12:21:00,17:32:00
919743,2017-01-13,пассажирский,11:06:00,05:11:00
